No.,施設名,公私区分,認可区分,合計園児定員,０歳児定員,１歳児定員,２歳児定員,３歳児定員,４・５歳児定員
1,藍染保育園,区立保育園,認可保育園,87,0,12,15,20,40
2,久堅保育園,区立保育園,認可保育園,123,12,20,22,23,46
3,青柳保育園,区立保育園,認可保育園,95,9,14,18,18,36
4,さしがや保育園,区立保育園,認可保育園,128,12,21,23,24,48
5,駒込保育園,区立保育園,認可保育園,93,0,15,18,20,40
6,こひなた保育園,区立保育園,認可保育園,97,0,15,18,20,44
7,本郷保育園,区立保育園,認可保育園,93,0,15,18,20,40
8,大塚保育園,区立保育園,認可保育園,103,9,13,14,21,46
9,しおみ保育園,区立保育園,認可保育園,107,11,14,16,22,44
10,千石保育園,区立保育園,認可保育園,146,12,23,25,26,60
11,向丘保育園,区立保育園,認可保育園,133,13,18,24,26,52
12,水道保育園,区立保育園,認可保育園,122,9,18,23,24,48
13,本駒込保育園,区立保育園,認可保育園,99,10,14,17,18,40
14,本駒込南保育園,区立保育園,認可保育園,121,12,20,21,22,46
15,千石西保育園,区立保育園,認可保育園,117,9,18,20,22,48
16,本駒込西保育園,区立保育園,認可保育園,53,10,13,15,15,0
17,目白台保育園,区立保育園,認可保育園,86,10,12,14,16,34
18,柳町保育園,区立保育園,認可保育園,36,,10,12,14,
19,根津保育園,区立保育園,認可保育園,21,6,7,8,0,0
20,お茶の水女子大学こども園,区立保育園,認定こども園,93,6,10,11,22,44
22,慈愛会保育園,私立保育園,認可保育園,21,6,7,8,0,0
23,たんぽぽ保育園,私立保育園,認可保育園,108,18,18,18,18,36
25,たんぽぽ保育園第３分園,私立保育園,認可保育園,66,6,9,11,12,28
27,どんぐり保育園,私立保育園,認可保育園,36,0,0,0,12,24
28,どんぐり保育園ラゴム,私立保育園,認可保育園,33,9,12,12,,
29,キッズハーモニー ・白山,私立保育園,認可保育園,47,5,6,9,9,18
31,まなびの森保育園茗荷谷,私立保育園,認可保育園,60,6,10,11,11,22
32,こころの保育園文京西片,私立保育園,認可保育園,91,,14,17,20,40
33,小学館アカデミー小石川保育園,私立保育園,認可保育園,69,9,12,12,12,24
34,ＳＯＭＰＯスマイルキッズﾞ江戸川橋保育園,私立保育園,認可保育園,64,9,11,11,11,22
35,白山ひかり保育園,私立保育園,認可保育園,60,9,9,9,11,22
36,小学館アカデミー茗荷谷保育園,私立保育園,認可保育園,61,6,10,11,11,23
37,グローバルキッズ後楽二丁目園,私立保育園,認可保育園,72,,6,6,20,40
38,グローバルキッズ後楽二丁目園分園,私立保育園,認可保育園,33,9,12,12,,
39,アスク本駒込保育園,私立保育園,認可保育園,70,6,10,12,12,30
40,ベネッセかごまち保育園,私立保育園,認可保育園,61,6,11,11,11,22
41,ベネッセ千石保育園,私立保育園,認可保育園,63,6,10,11,12,24
42,キッズガーデン文京春日,私立保育園,認可保育園,60,6,10,11,11,22
43,グローバルキッズ新大塚園,私立保育園,認可保育園,50,,10,10,10,20
44,ポピンズナーサリースクール千駄木,私立保育園,認可保育園,60,9,9,9,11,22
45,東京こども保育園,私立保育園,認可保育園,35,6,9,10,10,
46,ミアヘルサ保育園ひびき湯島,私立保育園,認可保育園,60,6,10,11,11,22
47,にじのいるか保育園小石川,私立保育園,認可保育園,63,12,17,17,17,
48,テンダーラビング保育園茗荷谷,私立保育園,認可保育園,55,6,9,10,10,20
49,ハッピーマム茗荷谷,私立保育園,認可保育園,55,6,9,10,10,20
50,ちゃいれっく新大塚駅前保育園,私立保育園,認可保育園,51,6,9,9,9,18
51,同仁美登里保育園,私立保育園,認可保育園,35,10,10,15,,
52,本駒込プチ・クレイシュ,私立保育園,認可保育園,60,6,10,11,11,22
53,保育所まぁむ東大前園,私立保育園,認可保育園,26,6,10,10,,
54,ポピンズナーサリースクール本郷,私立保育園,認可保育園,70,9,12,12,12,25
55,にじのいるか保育園千石,私立保育園,認可保育園,69,9,12,12,12,24
56,えがおの森保育園・せんごく,私立保育園,認可保育園,60,6,10,11,11,22
57,富坂まきば保育園,私立保育園,認可保育園,82,9,12,12,15,34
58,ﾃﾝﾀﾞｰﾗﾋﾞﾝｸﾞ保育園千駄木,私立保育園,認可保育園,50,6,8,9,9,18
59,クオリスキッズ駒込保育園,私立保育園,認可保育園,50,6,8,9,9,18
60,モニカ茗荷谷駅前園,私立保育園,認可保育園,60,10,11,11,11,22
61,ソラストお茶の水第一保育園,私立保育園,認可保育園,48,9,13,13,13,
62,ソラストお茶の水第二保育園,私立保育園,認可保育園,83,,9,12,12,50
63,にじのいるか保育園千石第二,私立保育園,認可保育園,90,9,15,16,16,34
64,ﾃﾝﾀﾞｰﾗﾋﾞﾝｸﾞ保育園小石川,私立保育園,認可保育園,100,9,15,16,20,40
65,さくらさくみらい　小日向,私立保育園,認可保育園,76,6,10,12,16,32
66,モニカ本駒込園,私立保育園,認可保育園,60,6,8,10,12,24
67,こどもヶ丘保育園本駒込園,私立保育園,認可保育園,45,3,5,7,10,20
68,さくらさくみらい　護国寺,私立保育園,認可保育園,67,,10,12,15,30
69,茗荷谷ここわ保育園,私立保育園,認可保育園,60,6,8,10,12,24
70,大空と大地のなーさりぃ茗荷谷園,私立保育園,認可保育園,100,9,14,16,19,42
71,テンダーラビング保育園音羽,私立保育園,認可保育園,100,9,14,16,19,42
72,グローバルキッズ茗荷谷園,私立保育園,認可保育園,63,6,10,11,12,24
73,木下の保育園白山,私立保育園,認可保育園,96,6,12,18,20,40
74,ソラスト小石川保育園,私立保育園,認可保育園,60,6,10,10,11,23
75,さくらさくみらい　水道,私立保育園,認可保育園,70,6,10,10,14,30
76,グローバルキッズ大塚四丁目園,私立保育園,認可保育園,70,6,10,12,14,28
77,キッズパートナー文京関口,私立保育園,認可保育園,60,3,9,9,13,26
78,こどもヶ丘保育園第二本駒込園,私立保育園,認可保育園,72,6,10,11,15,30
79,うぃず千駄木保育園,私立保育園,認可保育園,60,6,8,10,12,24
80,AIAI NURSERY 新大塚,私立保育園,認可保育園,45,3,6,9,9,18
81,キッズパートナー文京千石,私立保育園,認可保育園,74,,10,10,18,36
82,小石川ちとせ保育園,私立保育園,認可保育園,90,9,11,13,19,38
83,ちゃいれっく小石川保育園,私立保育園,認可保育園,69,6,10,11,14,28
84,文京白山雲母保育園,私立保育園,認可保育園,60,6,10,11,11,22
85,千石すきっぷ保育園,私立保育園,認可保育園,59,6,10,10,11,22
86,神田川ほとりに花咲く保育園,私立保育園,認可保育園,73,,13,15,15,30
87,クオリスキッズ江戸川橋保育園,私立保育園,認可保育園,50,,7,10,11,22
88,テンダーラビング保育園関口,私立保育園,認可保育園,72,8,10,12,14,28
89,クオリスキッズ水道橋保育園,私立保育園,認可保育園,54,4,8,9,11,22
90,MIRATZ本郷第二保育園,私立保育園,認可保育園,21,,,,7,14
91,明日葉保育園西片園,私立保育園,認可保育園,60,6,9,9,12,24
92,キッズパートナー文京本駒込,私立保育園,認可保育園,70,6,10,12,14,28
93,このえ本駒込保育園,私立保育園,認可保育園,70,6,10,12,14,28
94,にじいろ保育園千駄木,私立保育園,認可保育園,59,6,8,9,12,24
95,このえ第二本駒込保育園,私立保育園,認可保育園,60,6,8,10,12,24
96,本郷ちとせ保育園,私立保育園,認可保育園,80,9,12,12,15,32
97,文京ガーデンひかり保育園,私立保育園,認可保育園,60,6,9,9,12,24
98,クオリスキッズ小石川保育園,私立保育園,認可保育園,50,6,6,8,10,20
99,大空と大地のなーさりぃ文京千石園,私立保育園,認可保育園,68,9,10,10,13,26
100,キッズラボ千石園,私立保育園,認可保育園,69,6,12,12,13,26
101,ぽけっとランド本郷保育園,私立保育園,認可保育園,89,6,11,11,13,48
102,マジオひまわり保育園本郷,私立保育園,認可保育園,60,6,7,10,12,25
103,小石川ここわ保育園,私立保育園,認可保育園,100,9,15,16,20,40
103,ソラスト茗荷谷保育園,私立保育園,認可保育園,100,9,14,16,19,42
104,このえ本郷三丁目小規模保育園,私立保育園,小規模保育事業,12,,6,6,,
105,ｷｯｽﾞﾊﾟｰﾄﾅｰ文京駕籠町,私立保育園,小規模保育事業,19,3,8,8,,
106,ちいさいおうち小石川,私立保育園,小規模保育事業,19,6,6,7,,
107,ｻﾝﾗｲｽﾞｷｯｽﾞ保育園白山園,私立保育園,小規模保育事業,12,3,4,5,,
108,ＭＩＲＡＴＺ目白台保育園,私立保育園,小規模保育事業,19,6,6,7,,
109,ｷｭｰﾋﾟｰﾙｰﾑ新大塚園,私立保育園,小規模保育事業,12,2,5,5,,
110,繭の糸おとわ小規模保育園,私立保育園,小規模保育事業,19,3,8,8,,
111,みらいつばさ千駄木保育園,私立保育園,小規模保育事業,12,3,4,5,,
112,赤門小規模保育園,私立保育園,小規模保育事業,17,,8,9,,
113,ＭＩＲＡＴＺ本郷保育園,私立保育園,小規模保育事業,19,6,6,7,,
114,こどもヶ丘保育園本駒込小規模園,私立保育園,小規模保育事業,19,6,6,7,,
115,洛和大塚みどり保育園,私立保育園,小規模保育事業,19,6,6,7,,
116,ちいさいおうち大塚仲町,私立保育園,小規模保育事業,12,4,4,4,,
117,MIRATZ白山保育園,私立保育園,小規模保育事業,15,5,5,5,,
118,ハッピーナーサリー千駄木小規模保育園,私立保育園,小規模保育事業,18,6,6,6,,
